Record #:  0
Notes :


6/26/20192:23:20 PMRecord #:  0
Notes :


6/26/20192:23:20 PM
Codes Data

Status Bits	CH1	CH2	CH3	CH4	CH5	CH6	CH7	CH8	
FFFFFFFFFFC68340	00002382	FFFFFFFFFFFFE218	00000104	FFFFFFFFFFFFD862	FFFFFFFFFFFFC4CB	000014E9	FFFFFFFFFFFFDE83	000007AE
FFFFFFFFFFC68340	00002388	FFFFFFFFFFFFE21C	0000010D	FFFFFFFFFFFFD870	FFFFFFFFFFFFC4D3	000014F7	FFFFFFFFFFFFDE77	000007A6
FFFFFFFFFFC68340	00002388	FFFFFFFFFFFFE210	0000010A	FFFFFFFFFFFFD869	FFFFFFFFFFFFC4C7	000014E5	FFFFFFFFFFFFDE6C	000007AC
FFFFFFFFFFC69340	0000239A	FFFFFFFFFFFFE221	00000109	FFFFFFFFFFFFD855	FFFFFFFFFFFFC4BB	000014E1	FFFFFFFFFFFFDE77	000007B9
FFFFFFFFFFC68340	00002397	FFFFFFFFFFFFE226	00000105	FFFFFFFFFFFFD84C	FFFFFFFFFFFFC4BF	000014F2	FFFFFFFFFFFFDE75	000007B1
FFFFFFFFFFC68340	00002381	FFFFFFFFFFFFE220	000000EE	FFFFFFFFFFFFD862	FFFFFFFFFFFFC4C8	000014E5	FFFFFFFFFFFFDE6A	000007B6
FFFFFFFFFFC68340	00002380	FFFFFFFFFFFFE21B	000000F8	FFFFFFFFFFFFD86A	FFFFFFFFFFFFC4BB	000014E0	FFFFFFFFFFFFDE77	000007A7
FFFFFFFFFFC68340	00002372	FFFFFFFFFFFFE229	00000107	FFFFFFFFFFFFD859	FFFFFFFFFFFFC4CC	000014EC	FFFFFFFFFFFFDE73	000007A2
FFFFFFFFFFC68340	00002375	FFFFFFFFFFFFE221	00000105	FFFFFFFFFFFFD855	FFFFFFFFFFFFC4C7	000014E9	FFFFFFFFFFFFDE7F	000007A4
FFFFFFFFFFC68340	0000238B	FFFFFFFFFFFFE21F	0000010B	FFFFFFFFFFFFD859	FFFFFFFFFFFFC4CE	000014EB	FFFFFFFFFFFFDE7D	000007A4
FFFFFFFFFFC68340	00002383	FFFFFFFFFFFFE21B	0000010C	FFFFFFFFFFFFD85C	FFFFFFFFFFFFC4CD	000014F9	FFFFFFFFFFFFDE79	000007A8
FFFFFFFFFFC69340	00002368	FFFFFFFFFFFFE216	00000105	FFFFFFFFFFFFD86D	FFFFFFFFFFFFC4D0	000014E8	FFFFFFFFFFFFDE66	000007A1
FFFFFFFFFFC68340	00002375	FFFFFFFFFFFFE212	00000117	FFFFFFFFFFFFD867	FFFFFFFFFFFFC4CC	000014F2	FFFFFFFFFFFFDE7A	000007B7
FFFFFFFFFFC68340	00002374	FFFFFFFFFFFFE219	0000010C	FFFFFFFFFFFFD863	FFFFFFFFFFFFC4C7	000014D5	FFFFFFFFFFFFDE94	000007A3
FFFFFFFFFFC68340	0000236F	FFFFFFFFFFFFE222	00000106	FFFFFFFFFFFFD86B	FFFFFFFFFFFFC4C2	000014D1	FFFFFFFFFFFFDE8D	000007B6
FFFFFFFFFFC68340	00002372	FFFFFFFFFFFFE21D	0000010C	FFFFFFFFFFFFD865	FFFFFFFFFFFFC4B8	000014DD	FFFFFFFFFFFFDE8D	000007A6
FFFFFFFFFFC68340	00002389	FFFFFFFFFFFFE21B	0000010C	FFFFFFFFFFFFD876	FFFFFFFFFFFFC4B0	000014E2	FFFFFFFFFFFFDE85	000007A3
FFFFFFFFFFC68340	0000238F	FFFFFFFFFFFFE21C	00000109	FFFFFFFFFFFFD85C	FFFFFFFFFFFFC4CE	000014DD	FFFFFFFFFFFFDE80	000007AB
FFFFFFFFFFC68340	00002387	FFFFFFFFFFFFE213	000000FF	FFFFFFFFFFFFD84E	FFFFFFFFFFFFC4CE	000014DB	FFFFFFFFFFFFDE7D	0000079D
FFFFFFFFFFC69340	0000238F	FFFFFFFFFFFFE21D	00000109	FFFFFFFFFFFFD853	FFFFFFFFFFFFC4C2	000014D8	FFFFFFFFFFFFDE8B	0000079B
FFFFFFFFFFC68340	00002388	FFFFFFFFFFFFE21D	00000100	FFFFFFFFFFFFD867	FFFFFFFFFFFFC4C4	000014CE	FFFFFFFFFFFFDE71	000007A3
FFFFFFFFFFC68340	00002377	FFFFFFFFFFFFE224	000000FB	FFFFFFFFFFFFD865	FFFFFFFFFFFFC4CB	000014D4	FFFFFFFFFFFFDE75	000007A7
FFFFFFFFFFC68340	00002378	FFFFFFFFFFFFE219	00000108	FFFFFFFFFFFFD858	FFFFFFFFFFFFC4BC	000014D5	FFFFFFFFFFFFDE83	000007A0
FFFFFFFFFFC68340	00002383	FFFFFFFFFFFFE217	0000010F	FFFFFFFFFFFFD85D	FFFFFFFFFFFFC4B6	000014E2	FFFFFFFFFFFFDE74	000007A9
FFFFFFFFFFC68340	0000237D	FFFFFFFFFFFFE225	00000119	FFFFFFFFFFFFD854	FFFFFFFFFFFFC4C6	000014F9	FFFFFFFFFFFFDE88	000007A5
FFFFFFFFFFC68340	00002380	FFFFFFFFFFFFE20F	00000102	FFFFFFFFFFFFD85B	FFFFFFFFFFFFC4C9	000014ED	FFFFFFFFFFFFDE68	000007A1
FFFFFFFFFFC68340	0000237E	FFFFFFFFFFFFE204	00000115	FFFFFFFFFFFFD85C	FFFFFFFFFFFFC4BF	000014E7	FFFFFFFFFFFFDE63	000007A7
FFFFFFFFFFC68340	0000237E	FFFFFFFFFFFFE20C	00000112	FFFFFFFFFFFFD85C	FFFFFFFFFFFFC4B5	00001500	FFFFFFFFFFFFDE7F	000007A3
FFFFFFFFFFC69340	00002381	FFFFFFFFFFFFE21C	0000010A	FFFFFFFFFFFFD867	FFFFFFFFFFFFC4BB	000014F1	FFFFFFFFFFFFDE83	000007B1
FFFFFFFFFFC68340	00002388	FFFFFFFFFFFFE237	00000100	FFFFFFFFFFFFD85B	FFFFFFFFFFFFC4B9	000014D6	FFFFFFFFFFFFDE67	000007C0
FFFFFFFFFFC68340	0000237F	FFFFFFFFFFFFE228	000000F8	FFFFFFFFFFFFD858	FFFFFFFFFFFFC4BD	000014E6	FFFFFFFFFFFFDE83	000007A7
FFFFFFFFFFC68340	00002362	FFFFFFFFFFFFE213	00000102	FFFFFFFFFFFFD847	FFFFFFFFFFFFC4C4	000014DE	FFFFFFFFFFFFDE80	000007A4
FFFFFFFFFFC68340	00002373	FFFFFFFFFFFFE214	00000107	FFFFFFFFFFFFD847	FFFFFFFFFFFFC4D0	00001502	FFFFFFFFFFFFDE8E	000007AE
FFFFFFFFFFC68340	0000238B	FFFFFFFFFFFFE21B	00000107	FFFFFFFFFFFFD852	FFFFFFFFFFFFC4D1	000014E5	FFFFFFFFFFFFDE8D	0000079A
FFFFFFFFFFC68340	00002381	FFFFFFFFFFFFE21C	00000109	FFFFFFFFFFFFD844	FFFFFFFFFFFFC4CE	000014DE	FFFFFFFFFFFFDE8A	0000079F
FFFFFFFFFFC68340	00002383	FFFFFFFFFFFFE215	000000FB	FFFFFFFFFFFFD84E	FFFFFFFFFFFFC4D0	000014F6	FFFFFFFFFFFFDE80	000007B3
FFFFFFFFFFC69340	0000236C	FFFFFFFFFFFFE22A	000000F1	FFFFFFFFFFFFD860	FFFFFFFFFFFFC4CE	000014F6	FFFFFFFFFFFFDE75	000007A7
FFFFFFFFFFC68340	0000237B	FFFFFFFFFFFFE210	000000FD	FFFFFFFFFFFFD85E	FFFFFFFFFFFFC4C4	000014FE	FFFFFFFFFFFFDE6D	0000079C
FFFFFFFFFFC68340	00002384	FFFFFFFFFFFFE208	000000F9	FFFFFFFFFFFFD863	FFFFFFFFFFFFC4D0	00001501	FFFFFFFFFFFFDE66	000007A0
FFFFFFFFFFC68340	00002386	FFFFFFFFFFFFE208	000000F9	FFFFFFFFFFFFD85C	FFFFFFFFFFFFC4CC	000014FE	FFFFFFFFFFFFDE81	000007AF
FFFFFFFFFFC68340	00002388	FFFFFFFFFFFFE20E	00000107	FFFFFFFFFFFFD851	FFFFFFFFFFFFC4B9	000014F3	FFFFFFFFFFFFDE94	000007AC
FFFFFFFFFFC68340	0000237B	FFFFFFFFFFFFE217	0000011D	FFFFFFFFFFFFD84D	FFFFFFFFFFFFC4B3	000014F8	FFFFFFFFFFFFDE82	00000797
FFFFFFFFFFC68340	00002392	FFFFFFFFFFFFE21A	00000121	FFFFFFFFFFFFD853	FFFFFFFFFFFFC4C1	000014E9	FFFFFFFFFFFFDE76	000007A2
FFFFFFFFFFC68340	00002381	FFFFFFFFFFFFE215	00000107	FFFFFFFFFFFFD864	FFFFFFFFFFFFC4DD	000014EA	FFFFFFFFFFFFDE8F	000007AA
FFFFFFFFFFC69340	0000237E	FFFFFFFFFFFFE219	00000105	FFFFFFFFFFFFD85B	FFFFFFFFFFFFC4DD	000014F6	FFFFFFFFFFFFDE80	000007B5
FFFFFFFFFFC68340	00002379	FFFFFFFFFFFFE22B	000000EE	FFFFFFFFFFFFD853	FFFFFFFFFFFFC4CD	000014EE	FFFFFFFFFFFFDE7E	000007A6
FFFFFFFFFFC68340	0000237B	FFFFFFFFFFFFE234	000000F6	FFFFFFFFFFFFD869	FFFFFFFFFFFFC4D3	000014F8	FFFFFFFFFFFFDE80	000007AA
FFFFFFFFFFC68340	0000238D	FFFFFFFFFFFFE21D	00000109	FFFFFFFFFFFFD865	FFFFFFFFFFFFC4D3	000014E7	FFFFFFFFFFFFDE67	000007A2
FFFFFFFFFFC68340	00002380	FFFFFFFFFFFFE22C	00000104	FFFFFFFFFFFFD86A	FFFFFFFFFFFFC4C7	000014F0	FFFFFFFFFFFFDE80	0000079F
FFFFFFFFFFC68340	0000238A	FFFFFFFFFFFFE22B	000000FD	FFFFFFFFFFFFD86A	FFFFFFFFFFFFC4D0	000014E9	FFFFFFFFFFFFDE7B	000007A1
FFFFFFFFFFC68340	00002387	FFFFFFFFFFFFE21D	00000105	FFFFFFFFFFFFD86A	FFFFFFFFFFFFC4C2	000014E4	FFFFFFFFFFFFDE7C	000007A6
FFFFFFFFFFC68340	0000237E	FFFFFFFFFFFFE221	0000010C	FFFFFFFFFFFFD871	FFFFFFFFFFFFC4CC	000014E6	FFFFFFFFFFFFDE7B	0000079B
FFFFFFFFFFC68340	00002382	FFFFFFFFFFFFE21C	0000010A	FFFFFFFFFFFFD853	FFFFFFFFFFFFC4CB	000014E7	FFFFFFFFFFFFDE6B	0000079D
FFFFFFFFFFC69340	0000237A	FFFFFFFFFFFFE224	0000010F	FFFFFFFFFFFFD84D	FFFFFFFFFFFFC4CC	000014E8	FFFFFFFFFFFFDE77	000007A7
FFFFFFFFFFC68340	0000236A	FFFFFFFFFFFFE221	0000010E	FFFFFFFFFFFFD85B	FFFFFFFFFFFFC4CE	000014DF	FFFFFFFFFFFFDE6A	000007AE
FFFFFFFFFFC68340	00002376	FFFFFFFFFFFFE226	00000104	FFFFFFFFFFFFD85D	FFFFFFFFFFFFC4D0	000014F4	FFFFFFFFFFFFDE70	00000792
FFFFFFFFFFC68340	00002393	FFFFFFFFFFFFE226	00000105	FFFFFFFFFFFFD85D	FFFFFFFFFFFFC4E4	000014E5	FFFFFFFFFFFFDE75	00000791
FFFFFFFFFFC68340	0000237D	FFFFFFFFFFFFE222	00000103	FFFFFFFFFFFFD85D	FFFFFFFFFFFFC4DA	000014E6	FFFFFFFFFFFFDE7E	000007A7
FFFFFFFFFFC68340	00002385	FFFFFFFFFFFFE226	00000102	FFFFFFFFFFFFD859	FFFFFFFFFFFFC4C5	000014F4	FFFFFFFFFFFFDE78	000007AA
FFFFFFFFFFC68340	00002380	FFFFFFFFFFFFE230	0000010A	FFFFFFFFFFFFD85C	FFFFFFFFFFFFC4C2	000014E5	FFFFFFFFFFFFDE6A	000007A2
FFFFFFFFFFC68340	00002379	FFFFFFFFFFFFE224	0000010D	FFFFFFFFFFFFD862	FFFFFFFFFFFFC4D5	000014DC	FFFFFFFFFFFFDE69	0000078F
FFFFFFFFFFC69340	0000237C	FFFFFFFFFFFFE229	00000102	FFFFFFFFFFFFD866	FFFFFFFFFFFFC4E5	000014E7	FFFFFFFFFFFFDE73	0000078E
FFFFFFFFFFC68340	00002370	FFFFFFFFFFFFE231	00000109	FFFFFFFFFFFFD857	FFFFFFFFFFFFC4CC	000014E1	FFFFFFFFFFFFDE67	000007A4
FFFFFFFFFFC68340	00002379	FFFFFFFFFFFFE22F	00000102	FFFFFFFFFFFFD85D	FFFFFFFFFFFFC4C1	000014DF	FFFFFFFFFFFFDE72	000007AE
FFFFFFFFFFC68340	0000237B	FFFFFFFFFFFFE236	0000011B	FFFFFFFFFFFFD858	FFFFFFFFFFFFC4C1	000014EF	FFFFFFFFFFFFDE7B	000007A9
FFFFFFFFFFC68340	00002384	FFFFFFFFFFFFE22A	00000112	FFFFFFFFFFFFD84A	FFFFFFFFFFFFC4C1	000014EA	FFFFFFFFFFFFDE70	0000079B
FFFFFFFFFFC68340	00002375	FFFFFFFFFFFFE221	000000F8	FFFFFFFFFFFFD85D	FFFFFFFFFFFFC4C4	000014F3	FFFFFFFFFFFFDE74	0000079A
FFFFFFFFFFC68340	0000236C	FFFFFFFFFFFFE22E	000000F4	FFFFFFFFFFFFD85E	FFFFFFFFFFFFC4BF	000014E7	FFFFFFFFFFFFDE84	00000799
FFFFFFFFFFC68340	00002363	FFFFFFFFFFFFE235	000000F1	FFFFFFFFFFFFD850	FFFFFFFFFFFFC4C6	000014F0	FFFFFFFFFFFFDE83	000007A7
FFFFFFFFFFC69340	00002373	FFFFFFFFFFFFE23A	0000010D	FFFFFFFFFFFFD851	FFFFFFFFFFFFC4C6	000014FA	FFFFFFFFFFFFDE6E	000007AA
FFFFFFFFFFC68340	0000236F	FFFFFFFFFFFFE229	00000113	FFFFFFFFFFFFD859	FFFFFFFFFFFFC4CC	000014E3	FFFFFFFFFFFFDE73	0000079A
FFFFFFFFFFC68340	00002362	FFFFFFFFFFFFE23B	0000010D	FFFFFFFFFFFFD85E	FFFFFFFFFFFFC4C8	000014D0	FFFFFFFFFFFFDE80	0000079B
FFFFFFFFFFC68340	00002372	FFFFFFFFFFFFE232	00000102	FFFFFFFFFFFFD84B	FFFFFFFFFFFFC4C0	000014EC	FFFFFFFFFFFFDE74	000007AC
FFFFFFFFFFC68340	00002374	FFFFFFFFFFFFE222	00000107	FFFFFFFFFFFFD843	FFFFFFFFFFFFC4CE	000014E7	FFFFFFFFFFFFDE79	000007A1
FFFFFFFFFFC68340	00002376	FFFFFFFFFFFFE22E	00000108	FFFFFFFFFFFFD842	FFFFFFFFFFFFC4CB	000014E2	FFFFFFFFFFFFDE85	000007A1
FFFFFFFFFFC68340	00002385	FFFFFFFFFFFFE228	000000FF	FFFFFFFFFFFFD863	FFFFFFFFFFFFC4C4	000014E6	FFFFFFFFFFFFDE7D	00000796
FFFFFFFFFFC68340	0000238A	FFFFFFFFFFFFE21E	0000010E	FFFFFFFFFFFFD856	FFFFFFFFFFFFC4C2	00001502	FFFFFFFFFFFFDE6E	000007A4
FFFFFFFFFFC68340	00002390	FFFFFFFFFFFFE21B	00000106	FFFFFFFFFFFFD84D	FFFFFFFFFFFFC4CE	000014FE	FFFFFFFFFFFFDE61	00000798
FFFFFFFFFFC69340	0000237D	FFFFFFFFFFFFE224	000000EA	FFFFFFFFFFFFD851	FFFFFFFFFFFFC4C9	000014EC	FFFFFFFFFFFFDE69	0000079B
FFFFFFFFFFC68340	00002388	FFFFFFFFFFFFE216	000000E7	FFFFFFFFFFFFD863	FFFFFFFFFFFFC4BF	000014F4	FFFFFFFFFFFFDE75	000007A1
FFFFFFFFFFC68340	00002379	FFFFFFFFFFFFE211	000000F1	FFFFFFFFFFFFD863	FFFFFFFFFFFFC4CB	00001500	FFFFFFFFFFFFDE72	000007A0
FFFFFFFFFFC68340	00002372	FFFFFFFFFFFFE21A	000000F6	FFFFFFFFFFFFD85E	FFFFFFFFFFFFC4D1	000014E9	FFFFFFFFFFFFDE75	000007A8
FFFFFFFFFFC68340	00002372	FFFFFFFFFFFFE22A	000000F3	FFFFFFFFFFFFD859	FFFFFFFFFFFFC4C6	00001502	FFFFFFFFFFFFDE78	000007A6
FFFFFFFFFFC68340	00002385	FFFFFFFFFFFFE229	000000ED	FFFFFFFFFFFFD863	FFFFFFFFFFFFC4C0	000014FF	FFFFFFFFFFFFDE67	000007B8
FFFFFFFFFFC68340	0000238B	FFFFFFFFFFFFE229	00000110	FFFFFFFFFFFFD861	FFFFFFFFFFFFC4B7	0000150C	FFFFFFFFFFFFDE67	000007A2
FFFFFFFFFFC68340	00002375	FFFFFFFFFFFFE222	0000010A	FFFFFFFFFFFFD860	FFFFFFFFFFFFC4B8	000014FB	FFFFFFFFFFFFDE7E	00000794
FFFFFFFFFFC69340	00002371	FFFFFFFFFFFFE221	000000FE	FFFFFFFFFFFFD86C	FFFFFFFFFFFFC4D3	000014EF	FFFFFFFFFFFFDE82	0000078C
FFFFFFFFFFC68340	00002385	FFFFFFFFFFFFE228	00000106	FFFFFFFFFFFFD862	FFFFFFFFFFFFC4D5	000014E9	FFFFFFFFFFFFDE70	000007A7
FFFFFFFFFFC68340	00002386	FFFFFFFFFFFFE21D	000000FE	FFFFFFFFFFFFD867	FFFFFFFFFFFFC4DA	000014F9	FFFFFFFFFFFFDE76	000007B2
FFFFFFFFFFC68340	0000236C	FFFFFFFFFFFFE21C	000000FD	FFFFFFFFFFFFD85C	FFFFFFFFFFFFC4C7	000014FB	FFFFFFFFFFFFDE6C	000007B0
FFFFFFFFFFC68340	00002379	FFFFFFFFFFFFE223	000000F1	FFFFFFFFFFFFD867	FFFFFFFFFFFFC4CB	000014F8	FFFFFFFFFFFFDE6E	000007AC
FFFFFFFFFFC68340	00002373	FFFFFFFFFFFFE214	000000F9	FFFFFFFFFFFFD85B	FFFFFFFFFFFFC4CF	000014F3	FFFFFFFFFFFFDE78	000007B5
FFFFFFFFFFC68340	00002366	FFFFFFFFFFFFE223	00000109	FFFFFFFFFFFFD85B	FFFFFFFFFFFFC4D1	000014E2	FFFFFFFFFFFFDE7F	000007AB
FFFFFFFFFFC68340	0000236D	FFFFFFFFFFFFE227	0000010A	FFFFFFFFFFFFD860	FFFFFFFFFFFFC4AB	000014EB	FFFFFFFFFFFFDE76	000007AB
