Record #:  0
Notes :


6/26/20192:23:20 PMRecord #:  0
Notes :


6/26/20192:23:20 PM
Volts Data

CH1	CH2	CH3	CH4	CH5	CH6	CH7	CH8	
433.397293E-6	-365.209579E-6	12.540817E-6	-483.512878E-6	-721.883774E-6	255.298615E-6	-408.220291E-6	93.555450E-6
433.254242E-6	-365.018845E-6	12.445450E-6	-483.942032E-6	-721.883774E-6	255.870819E-6	-408.935547E-6	94.079971E-6
433.015823E-6	-364.160538E-6	11.348724E-6	-484.323502E-6	-722.646713E-6	255.489349E-6	-409.030914E-6	93.364716E-6
433.111191E-6	-363.731384E-6	11.730194E-6	-483.274460E-6	-722.360611E-6	255.966187E-6	-408.935547E-6	93.555450E-6
433.969498E-6	-364.828110E-6	12.636185E-6	-483.465195E-6	-722.360611E-6	255.155563E-6	-410.127640E-6	93.173981E-6
433.349609E-6	-364.112854E-6	12.397766E-6	-483.226776E-6	-722.932816E-6	255.584717E-6	-408.935547E-6	93.030930E-6
433.826447E-6	-364.160538E-6	12.063980E-6	-483.226776E-6	-722.503662E-6	255.250931E-6	-409.173965E-6	93.126297E-6
433.683395E-6	-364.828110E-6	12.445450E-6	-483.226776E-6	-723.171234E-6	255.012512E-6	-409.126282E-6	93.364716E-6
433.254242E-6	-364.637375E-6	12.779236E-6	-482.892990E-6	-722.694397E-6	255.107880E-6	-409.173965E-6	92.840195E-6
433.444977E-6	-364.875793E-6	12.683868E-6	-484.323502E-6	-722.742081E-6	255.155563E-6	-409.936905E-6	92.935562E-6
433.063507E-6	-364.494324E-6	12.922287E-6	-484.609604E-6	-722.694397E-6	255.203247E-6	-409.364700E-6	93.412399E-6
432.300568E-6	-364.637375E-6	12.874603E-6	-483.942032E-6	-722.599030E-6	254.774094E-6	-409.984589E-6	93.746185E-6
432.872772E-6	-364.398956E-6	12.397766E-6	-483.846664E-6	-722.503662E-6	255.775452E-6	-409.698486E-6	92.411041E-6
434.255600E-6	-364.398956E-6	12.445450E-6	-483.846664E-6	-721.549988E-6	255.060196E-6	-409.460068E-6	92.363358E-6
433.206558E-6	-364.589691E-6	12.350082E-6	-483.846664E-6	-722.026825E-6	255.107880E-6	-409.030914E-6	93.412399E-6
433.588028E-6	-364.398956E-6	12.302399E-6	-484.037399E-6	-723.028183E-6	255.775452E-6	-409.317017E-6	93.555450E-6
433.349609E-6	-363.922119E-6	12.683868E-6	-483.894348E-6	-723.171234E-6	255.060196E-6	-409.984589E-6	93.173981E-6
433.015823E-6	-364.494324E-6	12.826920E-6	-483.608246E-6	-722.265244E-6	254.631042E-6	-410.032272E-6	92.267990E-6
433.158875E-6	-364.255905E-6	12.302399E-6	-483.417511E-6	-721.502304E-6	255.155563E-6	-409.555435E-6	92.220306E-6
432.586670E-6	-363.874435E-6	12.636185E-6	-484.132767E-6	-722.694397E-6	254.869461E-6	-410.127640E-6	93.269348E-6
433.015823E-6	-363.969803E-6	12.302399E-6	-483.846664E-6	-723.218918E-6	254.774094E-6	-409.603119E-6	93.746185E-6
433.111191E-6	-363.636017E-6	13.494492E-6	-484.085083E-6	-723.218918E-6	255.537033E-6	-409.173965E-6	93.507767E-6
433.540344E-6	-364.208221E-6	13.065338E-6	-484.752655E-6	-723.218918E-6	255.298615E-6	-409.698486E-6	92.840195E-6
432.825089E-6	-364.637375E-6	11.825562E-6	-483.846664E-6	-723.075867E-6	255.727768E-6	-409.507751E-6	92.792511E-6
432.395935E-6	-364.017487E-6	11.634827E-6	-483.798981E-6	-723.314285E-6	255.155563E-6	-408.744812E-6	92.744827E-6
431.966782E-6	-363.683701E-6	11.491776E-6	-484.466553E-6	-722.980499E-6	255.584717E-6	-408.792496E-6	93.412399E-6
432.729721E-6	-363.445282E-6	12.826920E-6	-484.418869E-6	-722.980499E-6	256.061554E-6	-409.793854E-6	93.555450E-6
432.538986E-6	-364.255905E-6	13.113022E-6	-484.037399E-6	-722.694397E-6	254.964828E-6	-409.555435E-6	92.792511E-6
431.919098E-6	-363.397598E-6	12.826920E-6	-483.798981E-6	-722.885132E-6	254.058838E-6	-408.935547E-6	92.840195E-6
432.682037E-6	-363.826752E-6	12.302399E-6	-484.704971E-6	-723.266602E-6	255.393982E-6	-409.507751E-6	93.650818E-6
432.777405E-6	-364.589691E-6	12.540817E-6	-485.086441E-6	-722.599030E-6	255.155563E-6	-409.269333E-6	93.126297E-6
432.872772E-6	-364.017487E-6	12.588501E-6	-485.134125E-6	-722.742081E-6	254.917145E-6	-408.697128E-6	93.126297E-6
433.588028E-6	-364.303589E-6	12.159348E-6	-483.560562E-6	-723.075867E-6	255.107880E-6	-409.078598E-6	92.601776E-6
433.826447E-6	-364.780426E-6	12.874603E-6	-484.180450E-6	-723.171234E-6	256.443024E-6	-409.793854E-6	93.269348E-6
434.112549E-6	-364.923477E-6	12.493134E-6	-484.609604E-6	-722.599030E-6	256.252289E-6	-410.413742E-6	92.697144E-6
433.206558E-6	-364.494324E-6	11.157990E-6	-484.418869E-6	-722.837448E-6	255.393982E-6	-410.032272E-6	92.840195E-6
433.731079E-6	-365.161896E-6	11.014938E-6	-483.560562E-6	-723.314285E-6	255.775452E-6	-409.460068E-6	93.126297E-6
433.015823E-6	-365.400314E-6	11.491776E-6	-483.560562E-6	-722.742081E-6	256.347656E-6	-409.603119E-6	93.078613E-6
432.682037E-6	-364.971161E-6	11.730194E-6	-483.798981E-6	-722.455978E-6	255.250931E-6	-409.460068E-6	93.460083E-6
432.682037E-6	-364.208221E-6	11.587143E-6	-484.037399E-6	-722.980499E-6	256.443024E-6	-409.317017E-6	93.364716E-6
433.588028E-6	-364.255905E-6	11.301041E-6	-483.560562E-6	-723.266602E-6	256.299973E-6	-410.127640E-6	94.223022E-6
433.874130E-6	-364.255905E-6	12.969971E-6	-483.655930E-6	-723.695755E-6	256.919861E-6	-410.127640E-6	93.173981E-6
432.825089E-6	-364.589691E-6	12.683868E-6	-483.703613E-6	-723.648071E-6	256.109238E-6	-409.030914E-6	92.506409E-6
432.634354E-6	-364.637375E-6	12.111664E-6	-483.131409E-6	-722.360611E-6	255.537033E-6	-408.840179E-6	92.124939E-6
433.588028E-6	-364.303589E-6	12.493134E-6	-483.608246E-6	-722.265244E-6	255.250931E-6	-409.698486E-6	93.412399E-6
433.635712E-6	-364.828110E-6	12.111664E-6	-483.369827E-6	-722.026825E-6	256.013870E-6	-409.412384E-6	93.936920E-6
432.395935E-6	-364.875793E-6	12.063980E-6	-483.894348E-6	-722.932816E-6	256.109238E-6	-409.889221E-6	93.841553E-6
433.015823E-6	-364.542007E-6	11.491776E-6	-483.369827E-6	-722.742081E-6	255.966187E-6	-409.793854E-6	93.650818E-6
432.729721E-6	-365.257263E-6	11.873245E-6	-483.942032E-6	-722.551346E-6	255.727768E-6	-409.317017E-6	94.079971E-6
432.109833E-6	-364.542007E-6	12.636185E-6	-483.942032E-6	-722.455978E-6	254.917145E-6	-408.983231E-6	93.603134E-6
432.443619E-6	-364.351273E-6	12.683868E-6	-483.703613E-6	-724.267960E-6	255.346298E-6	-409.412384E-6	93.603134E-6
432.062149E-6	-364.685059E-6	11.873245E-6	-484.037399E-6	-723.743439E-6	255.393982E-6	-410.699844E-6	92.840195E-6
432.777405E-6	-364.160538E-6	12.207031E-6	-483.226776E-6	-723.552704E-6	256.347656E-6	-409.936905E-6	92.554092E-6
432.777405E-6	-365.495682E-6	12.874603E-6	-482.988358E-6	-722.980499E-6	256.109238E-6	-409.173965E-6	93.460083E-6
432.014465E-6	-364.971161E-6	12.779236E-6	-483.226776E-6	-722.265244E-6	256.156921E-6	-408.697128E-6	93.889236E-6
432.682037E-6	-363.922119E-6	13.065338E-6	-484.323502E-6	-722.503662E-6	256.395340E-6	-409.221649E-6	93.364716E-6
434.064865E-6	-364.446640E-6	12.445450E-6	-484.514236E-6	-722.455978E-6	255.060196E-6	-409.793854E-6	93.460083E-6
433.444977E-6	-365.114212E-6	13.160706E-6	-483.989716E-6	-722.599030E-6	254.917145E-6	-409.364700E-6	93.555450E-6
432.443619E-6	-365.114212E-6	11.968613E-6	-484.180450E-6	-722.980499E-6	255.680084E-6	-409.412384E-6	92.935562E-6
433.874130E-6	-365.304947E-6	10.919571E-6	-484.895706E-6	-723.361969E-6	255.489349E-6	-409.173965E-6	92.792511E-6
433.731079E-6	-365.543365E-6	11.634827E-6	-485.134125E-6	-722.694397E-6	254.631042E-6	-407.934189E-6	93.507767E-6
432.872772E-6	-364.971161E-6	12.302399E-6	-485.324860E-6	-722.503662E-6	254.774094E-6	-408.792496E-6	93.603134E-6
432.252884E-6	-364.637375E-6	11.825562E-6	-484.180450E-6	-723.123550E-6	256.013870E-6	-408.744812E-6	92.697144E-6
433.349609E-6	-363.922119E-6	11.968613E-6	-484.180450E-6	-723.171234E-6	255.584717E-6	-409.030914E-6	93.460083E-6
432.729721E-6	-364.589691E-6	12.683868E-6	-483.942032E-6	-723.028183E-6	255.203247E-6	-409.269333E-6	93.650818E-6
